temperature,fraction,run,atoms,composition,system
800.0,0.38856696100073584,/nvt/nvt_Al6372-Sm540/run_23,6912,Al6372Sm540,AlSm
300.0,0.5671622056659308,/nvt/nvt_Al6372-Sm540/run_23,6912,Al6372Sm540,AlSm
1300.0,0.18076059296051017,/nvt/nvt_Al6372-Sm540/run_83,6912,Al6372Sm540,AlSm
800.0,0.3932694076526858,/nvt/nvt_Al6372-Sm540/run_83,6912,Al6372Sm540,AlSm
300.0,0.5680388842899191,/nvt/nvt_Al6372-Sm540/run_83,6912,Al6372Sm540,AlSm
1300.0,0.18179248681628649,/nvt/nvt_Al6372-Sm540/run_98,6912,Al6372Sm540,AlSm
800.0,0.3953034936840814,/nvt/nvt_Al6372-Sm540/run_98,6912,Al6372Sm540,AlSm
300.0,0.5590603538140789,/nvt/nvt_Al6372-Sm540/run_98,6912,Al6372Sm540,AlSm
1300.0,0.18090143641157713,/nvt/nvt_Al6372-Sm540/run_19,6912,Al6372Sm540,AlSm
800.0,0.38884673166544026,/nvt/nvt_Al6372-Sm540/run_19,6912,Al6372Sm540,AlSm
300.0,0.5709621044885945,/nvt/nvt_Al6372-Sm540/run_19,6912,Al6372Sm540,AlSm
1300.0,0.1816784706892323,/nvt/nvt_Al6372-Sm540/run_9,6912,Al6372Sm540,AlSm
800.0,0.38684330543291634,/nvt/nvt_Al6372-Sm540/run_9,6912,Al6372Sm540,AlSm
300.0,0.5761579822786362,/nvt/nvt_Al6372-Sm540/run_9,6912,Al6372Sm540,AlSm
1300.0,0.18099916452048073,/nvt/nvt_Al6372-Sm540/run_95,6912,Al6372Sm540,AlSm
800.0,0.3907562622639196,/nvt/nvt_Al6372-Sm540/run_95,6912,Al6372Sm540,AlSm
300.0,0.5641019744910474,/nvt/nvt_Al6372-Sm540/run_95,6912,Al6372Sm540,AlSm
1300.0,0.18093784492273732,/nvt/nvt_Al6372-Sm540/run_18,6912,Al6372Sm540,AlSm
800.0,0.38772860712533724,/nvt/nvt_Al6372-Sm540/run_18,6912,Al6372Sm540,AlSm
300.0,0.5689481389502085,/nvt/nvt_Al6372-Sm540/run_18,6912,Al6372Sm540,AlSm
1300.0,0.1818997961123375,/nvt/nvt_Al6372-Sm540/run_87,6912,Al6372Sm540,AlSm
800.0,0.38724954776796666,/nvt/nvt_Al6372-Sm540/run_87,6912,Al6372Sm540,AlSm
300.0,0.5745291804635762,/nvt/nvt_Al6372-Sm540/run_87,6912,Al6372Sm540,AlSm
1300.0,0.18464480623007112,/nvt/nvt_Al6372-Sm540/run_54,6912,Al6372Sm540,AlSm
800.0,0.3833260516311013,/nvt/nvt_Al6372-Sm540/run_54,6912,Al6372Sm540,AlSm
300.0,0.5670472314201619,/nvt/nvt_Al6372-Sm540/run_54,6912,Al6372Sm540,AlSm
1300.0,0.18256377238165317,/nvt/nvt_Al6372-Sm540/run_12,6912,Al6372Sm540,AlSm
800.0,0.3899044947265146,/nvt/nvt_Al6372-Sm540/run_12,6912,Al6372Sm540,AlSm
300.0,0.5804283173902379,/nvt/nvt_Al6372-Sm540/run_12,6912,Al6372Sm540,AlSm
1300.0,0.18178673810399804,/nvt/nvt_Al6372-Sm540/run_20,6912,Al6372Sm540,AlSm
800.0,0.38490503127299486,/nvt/nvt_Al6372-Sm540/run_20,6912,Al6372Sm540,AlSm
300.0,0.5729157085479519,/nvt/nvt_Al6372-Sm540/run_20,6912,Al6372Sm540,AlSm
1300.0,0.17954378219278883,/nvt/nvt_Al6372-Sm540/run_7,6912,Al6372Sm540,AlSm
800.0,0.3888678102771646,/nvt/nvt_Al6372-Sm540/run_7,6912,Al6372Sm540,AlSm
300.0,0.5548867886926662,/nvt/nvt_Al6372-Sm540/run_7,6912,Al6372Sm540,AlSm
1300.0,0.18257526980623007,/nvt/nvt_Al6372-Sm540/run_88,6912,Al6372Sm540,AlSm
800.0,0.38745171081677704,/nvt/nvt_Al6372-Sm540/run_88,6912,Al6372Sm540,AlSm
300.0,0.5665997899803777,/nvt/nvt_Al6372-Sm540/run_88,6912,Al6372Sm540,AlSm
1300.0,0.18288090967623252,/nvt/nvt_Al6372-Sm540/run_35,6912,Al6372Sm540,AlSm
800.0,0.39340737674760856,/nvt/nvt_Al6372-Sm540/run_35,6912,Al6372Sm540,AlSm
300.0,0.5622748421020358,/nvt/nvt_Al6372-Sm540/run_35,6912,Al6372Sm540,AlSm
1300.0,0.18093017997301938,/nvt/nvt_Al6372-Sm540/run_11,6912,Al6372Sm540,AlSm
800.0,0.3927213637478538,/nvt/nvt_Al6372-Sm540/run_11,6912,Al6372Sm540,AlSm
300.0,0.5640598172675987,/nvt/nvt_Al6372-Sm540/run_11,6912,Al6372Sm540,AlSm
1300.0,0.1809752115526122,/nvt/nvt_Al6372-Sm540/run_4,6912,Al6372Sm540,AlSm
800.0,0.3885621704071621,/nvt/nvt_Al6372-Sm540/run_4,6912,Al6372Sm540,AlSm
300.0,0.5722900570272259,/nvt/nvt_Al6372-Sm540/run_4,6912,Al6372Sm540,AlSm
1300.0,0.18319134013980867,/nvt/nvt_Al6372-Sm540/run_27,6912,Al6372Sm540,AlSm
800.0,0.38727924944812364,/nvt/nvt_Al6372-Sm540/run_27,6912,Al6372Sm540,AlSm
300.0,0.5639343037159676,/nvt/nvt_Al6372-Sm540/run_27,6912,Al6372Sm540,AlSm
1300.0,0.1807682579102281,/nvt/nvt_Al6372-Sm540/run_24,6912,Al6372Sm540,AlSm
800.0,0.3925192006990434,/nvt/nvt_Al6372-Sm540/run_24,6912,Al6372Sm540,AlSm
300.0,0.5668517752023546,/nvt/nvt_Al6372-Sm540/run_24,6912,Al6372Sm540,AlSm
1300.0,0.18113330114054452,/nvt/nvt_Al6372-Sm540/run_58,6912,Al6372Sm540,AlSm
800.0,0.3912985574564631,/nvt/nvt_Al6372-Sm540/run_58,6912,Al6372Sm540,AlSm
300.0,0.5678558836154035,/nvt/nvt_Al6372-Sm540/run_58,6912,Al6372Sm540,AlSm
1300.0,0.18108539520480746,/nvt/nvt_Al6372-Sm540/run_1,6912,Al6372Sm540,AlSm
800.0,0.38955190703948983,/nvt/nvt_Al6372-Sm540/run_1,6912,Al6372Sm540,AlSm
300.0,0.5736937009443218,/nvt/nvt_Al6372-Sm540/run_1,6912,Al6372Sm540,AlSm
1300.0,0.18077879721609028,/nvt/nvt_Al6372-Sm540/run_57,6912,Al6372Sm540,AlSm
800.0,0.38602411393181263,/nvt/nvt_Al6372-Sm540/run_57,6912,Al6372Sm540,AlSm
300.0,0.5721894545621781,/nvt/nvt_Al6372-Sm540/run_57,6912,Al6372Sm540,AlSm
1300.0,0.1811026413416728,/nvt/nvt_Al6372-Sm540/run_36,6912,Al6372Sm540,AlSm
800.0,0.39140395051508464,/nvt/nvt_Al6372-Sm540/run_36,6912,Al6372Sm540,AlSm
300.0,0.56996087043169,/nvt/nvt_Al6372-Sm540/run_36,6912,Al6372Sm540,AlSm
1300.0,0.18308786331861662,/nvt/nvt_Al6372-Sm540/run_6,6912,Al6372Sm540,AlSm
800.0,0.3896055616875153,/nvt/nvt_Al6372-Sm540/run_6,6912,Al6372Sm540,AlSm
300.0,0.5579259412558254,/nvt/nvt_Al6372-Sm540/run_6,6912,Al6372Sm540,AlSm
1300.0,0.18247562545989698,/nvt/nvt_Al6372-Sm540/run_76,6912,Al6372Sm540,AlSm
800.0,0.3884615679421143,/nvt/nvt_Al6372-Sm540/run_76,6912,Al6372Sm540,AlSm
300.0,0.5762576266249694,/nvt/nvt_Al6372-Sm540/run_76,6912,Al6372Sm540,AlSm
